innodb_buffer_pool_size,innodb_thread_concurrency,innodb_adaptive_hash_index,innodb_flush_log_at_trx_commit,join_buffer_size,sort_buffer_size,tmp_table_size,thread_cache_size,read_rnd_buffer_size,max_heap_table_size,performance
44179456,43,1,1,4173824,16148480,38612992,21504,40548352,28607488,73.65
54930432,41,1,1,11723776,9758720,37706752,11264,50663424,38034432,62.87
101657600,2,1,1,1614848,13070336,57915392,0,18407424,54138880,56.77
28073984,10,0,2,11955200,2847744,35260416,28672,14810112,64487424,97.22
141739008,2,0,1,6394880,7871488,54257664,12288,76219392,36633600,47.88
71188480,48,1,1,6935552,4564992,50893824,34816,76643328,42500096,69.1
3181456384,26,1,1,11455488,14023680,47643648,10240,118141952,38299648,42.3
40430592,19,0,0,12515328,8420352,52761600,45056,37568512,2898944,77.63
55025664,38,1,2,5133312,12731392,30642176,3072,73892864,42400768,57.76
64295936,9,0,0,226304,1971200,16983040,44032,40934400,21051392,66.41
2964639744,32,1,1,11551744,16066560,14785536,39936,90678272,55908352,42.94
1408658432,2,1,0,13100032,10881024,48509952,11264,42192896,23457792,55.18
2737996800,2,1,2,936960,9491456,48737280,37888,28038144,33413120,45.79
930138112,49,0,1,1807360,12149760,4212736,30720,85625856,44928000,62.06
2528486400,31,0,1,2717696,15090688,4557824,26624,53274624,12450816,41.17
2910632960,36,1,1,11867136,4372480,59778048,27648,67657728,31208448,52.95
3184483328,10,1,2,11094016,9792512,29852672,43008,86142976,30733312,34.57
2442081280,39,0,1,14302208,10700800,3738624,19456,76191744,56508416,43
1665599488,41,0,1,12111872,16340992,45133824,19456,90366976,44497920,41.78
764664832,47,0,1,11097088,13049856,61956096,17408,93184000,4615168,52.46
2610404352,37,1,1,7186432,13118464,51939328,37888,58393600,41811968,42.48
237861888,42,0,1,5925888,15400960,31840256,16384,72867840,29120512,59.5
2875168768,46,1,1,2851840,13858816,15296512,49152,98508800,44674048,42.84
226395136,48,1,1,6320128,12254208,49425408,31744,16887808,20450304,50.34
845146112,39,1,1,5805056,15450112,40804352,6144,36640768,19666944,48.8
842673152,47,1,1,2091008,10855424,8404992,11264,82613248,39524352,51.11
1991386112,35,0,1,4984832,9228288,29491200,19456,18243584,53107712,44.42
2006679552,43,0,1,1531904,1894400,32856064,41984,6502400,50700288,43.52
416996352,45,0,1,420864,14437376,28742656,11264,117127168,53648384,51.11
1382028288,41,0,1,14437376,15628288,31524864,11264,107144192,3961856,41.66
2840509440,19,1,1,14740480,14455808,30413824,43008,102027264,2473984,42.94
295271424,47,1,1,8344576,13283328,10825728,10240,88222720,50754560,50.27
1767453696,37,1,1,3191808,16351232,54333440,22528,128310272,21812224,55.24
522004480,20,1,1,6147072,15617024,4513792,41984,50546688,60560384,49.67
246566912,41,0,1,3499008,2124800,44059648,15360,3875840,22336512,52.61
2993595392,49,1,1,8570880,15414272,33551360,4096,113515520,8139776,44.01
1120270336,35,0,1,14821376,16087040,43023360,40960,59995136,52448256,42.14
111159296,40,1,1,8378368,4412416,17933312,4096,25421824,21597184,57.53
709121024,49,0,1,10562560,8518656,18447360,30720,35482624,50021376,52.6
3115084800,6,1,1,6038528,754688,48328704,27648,55904256,4788224,57.95
2713774080,33,0,1,4460544,10696704,38514688,34816,1525760,53217280,42.46
2762411008,39,0,1,1178624,8619008,39641088,19456,62879744,62515200,41.84
579267584,33,0,1,16439296,9399296,17532928,7168,2466816,29541376,52.22
1265517568,42,1,1,4506624,4409344,61745152,32768,13242368,14331904,42.71
2414666752,40,0,1,14064640,1575936,16940032,9216,107219968,13785088,42.62
871479296,34,1,1,8658944,16208896,51859456,33792,132243456,20885504,50.72
1109916672,23,0,1,12932096,16028672,18589696,5120,16438272,25623552,40.92
1723995136,48,0,1,9574400,4591616,54080512,13312,30732288,62346240,51.58
1653857280,44,0,1,6171648,1467392,16243712,22528,36834304,56408064,55.31
830625792,29,1,1,1211392,5925888,40177664,23552,73715712,11741184,50.75
319453184,11,1,1,4226048,16338944,48082944,48128,31130624,5312512,52.81
666960896,5,1,1,4649984,15792128,55578624,20480,94725120,19953664,53.94
1958519808,25,0,1,831488,13580288,39315456,24576,38236160,56580096,41.8
277778432,10,0,1,14529536,15041536,46902272,46080,47260672,10856448,50.53
2217609216,38,0,1,2511872,7445504,13519872,30720,59981824,1392640,41.02
603974656,38,1,1,10173440,13655040,57232384,29696,109263872,48812032,52.37
2235551744,40,1,1,5688320,15607808,242688,24576,98790400,7778304,41.82
2897177600,11,0,1,9949184,4720640,41806848,21504,40098816,28410880,42.8
3198977024,24,0,1,3709952,15802368,3418112,22528,587776,57159680,44.1
2291410944,33,0,1,10317824,509952,40134656,16384,16120832,30502912,42.1
2186618880,34,1,1,14374912,7907328,5943296,11264,4678656,45142016,47.9
2041334784,45,1,1,10261504,3774464,3089408,25600,113993728,48965632,42.63
2536536064,27,1,1,16045056,5891072,39461888,4096,103031808,45614080,43.02
112382976,20,0,1,8634368,7876608,22074368,16384,42677248,44390400,51.33
3135897600,35,1,1,9641984,9630720,27368448,45056,89826304,32481280,50.21
81806336,23,1,0,15392768,69632,59728896,41984,67415040,30107648,55.58
2472397824,22,0,1,15340544,13711360,14508032,28672,125913088,24796160,52.62
884633600,40,0,1,9719808,3334144,26593280,34816,104182784,22747136,53.15
1269116928,26,0,1,8986624,7830528,11622400,7168,45540352,50254848,43.08
236989440,38,0,1,7828480,475136,23219200,35840,80864256,26954752,51.9
1004339200,23,0,1,1436672,4600832,49725440,6144,125736960,41383936,49.78
