shared_buffers,effective_cache_size,bgwriter_lru_maxpages,bgwriter_delay,checkpoint_completion_target,deadlock_timeout,default_statistics_target,effective_io_concurrency,checkpoint_timeout,throughput
208MB,408MB,344,7999ms,0.17311615,1s,4253,404,2400s,378.624692
124MB,148MB,300,1049ms,0.96271646,8s,8884,367,57s,382.991996
147MB,464MB,584,4668ms,0.7233422,2s,1326,313,3480s,363.619167
71MB,178MB,716,6856ms,0.76963127,3s,8924,15,2460s,367.135347
239MB,411MB,530,5897ms,0.6176735,9s,2412,950,1980s,369.278323
198MB,504MB,258,7048ms,0.91066563,4s,2643,168,840s,373.113811
385MB,173MB,89,2441ms,0.64311445,7s,7733,598,2760s,376.486748
474MB,389MB,714,2997ms,0.13594931,9s,8773,891,2280s,360.628704
168MB,364MB,933,9494ms,0.14788246,2s,5167,351,1680s,368.012928
114MB,355MB,163,4264ms,0.48836762,8s,1163,96,1560s,380.66201
471MB,345MB,992,6576ms,0.10963786,2s,2581,57,3240s,381.80703
238MB,124MB,814,8274ms,0.96553624,7s,4394,836,44s,377.122765
138MB,298MB,899,9507ms,0.8268145,7s,8590,744,1140s,366.929953
195MB,393MB,12,4753ms,0.7007314,9s,1935,244,54s,374.268898
509MB,404MB,288,1107ms,0.1954878,4s,1393,405,57s,367.047418
109MB,509MB,854,2029ms,0.31208712,7s,5568,527,57s,367.548506
316MB,100MB,732,1379ms,0.8446876,9s,8414,659,1020s,368.808757
76MB,433MB,391,7513ms,0.27900726,9s,6267,109,240s,364.455719
90MB,85MB,808,7301ms,0.6850996,9s,2748,37,3240s,371.745985
194MB,227MB,675,7819ms,0.35639405,3s,4978,924,54s,377.075452
457MB,70MB,857,1043ms,0.68566054,7s,4970,782,3300s,365.777578
127MB,217MB,833,1333ms,0.45713055,4s,6019,340,2520s,369.694787
394MB,449MB,935,914ms,0.519597,7s,1278,563,1680s,381.044596
84MB,466MB,460,7395ms,0.008954644,5s,5722,521,1980s,368.132816
489MB,153MB,231,5182ms,0.6992516,8s,6689,184,2280s,371.282698
457MB,364MB,89,658ms,0.40875083,4s,532,399,41s,372.878112
476MB,73MB,195,8298ms,0.4101358,5s,1669,69,3300s,378.374876
170MB,236MB,127,5340ms,0.7725801,8s,3057,842,1080s,366.152473
181MB,356MB,418,4979ms,0.45559162,3s,4173,100,660s,370.453323
180MB,453MB,232,15ms,0.7158123,8s,1053,994,43s,379.030131
501MB,185MB,30,7024ms,0.69594663,4s,5761,251,1200s,372.442681
381MB,277MB,997,1411ms,0.074201584,8s,7467,694,40s,382.335385
115MB,204MB,562,7356ms,0.31960654,5s,5555,528,1680s,360.105472
349MB,137MB,53,672ms,0.85164654,2s,7802,161,3360s,358.87818
278MB,337MB,372,3192ms,0.29257822,3s,9414,360,51s,363.157765
509MB,398MB,480,354ms,0.42945558,5s,8430,943,31s,371.230209
294MB,209MB,730,9719ms,0.85800934,4s,1822,764,960s,365.803135
367MB,350MB,213,9026ms,0.64349586,5s,2998,707,39s,358.876314
379MB,216MB,128,7003ms,0.96803015,7s,7719,610,2580s,361.981141
192MB,242MB,311,4190ms,0.7026639,2s,8340,141,1560s,374.415008
160MB,309MB,526,3849ms,0.58834475,6s,9883,630,59s,356.911878
503MB,380MB,255,2801ms,0.33319873,7s,1913,855,44s,375.731279
146MB,269MB,665,1880ms,0.95812243,2s,2001,91,420s,368.691078
481MB,261MB,826,9425ms,0.32910562,7s,7461,98,1920s,370.455971
226MB,117MB,516,1276ms,0.6974469,1s,5281,967,2700s,373.91086
250MB,247MB,877,6384ms,0.50137496,7s,6942,927,2520s,376.224868
115MB,95MB,723,7751ms,0.3732993,1s,6393,43,1680s,371.078032
91MB,282MB,328,4007ms,0.85136026,6s,4377,549,3300s,367.869614
191MB,148MB,413,786ms,0.946267,1s,6033,625,960s,365.474892
479MB,267MB,126,915ms,0.96879053,7s,8096,731,180s,358.06158
