repl-backlog-size,hash-max-ziplist-value,hash-max-ziplist-entries,list-max-ziplist-size,active-defrag-ignore-bytes,active-defrag-threshold-lower,"repl-disable-tcp-nodelay(1=yes,0=no)",hll-sparse-max-bytes,hz,6.0.5performance(requests per second)
10,65,361,-4,102,14,0,78,37,56497.18
6,69,316,-2,245,9,1,3473,28,57142.86
2,83,980,-4,154,12,0,8643,269,57142.86
3,118,712,-3,127,12,1,10893,70,52083.33
5,114,437,-2,201,6,0,9283,230,58823.53
1,114,673,-4,166,7,0,9917,116,57803.47
8,114,331,-2,223,13,0,10767,275,54054.05
10,53,821,-2,236,17,1,899,217,59523.81
2,71,673,-3,298,19,0,7315,137,59171.6
3,72,611,-4,212,15,0,9479,355,58479.53
1,74,1023,-1,240,13,1,2356,309,56497.18
10,91,666,-3,188,14,1,12227,423,59523.81
9,101,942,-5,156,16,0,6054,307,58139.53
4,78,322,-1,223,8,1,13618,170,56818.18
9,95,435,-4,251,16,1,9713,486,53191.49
3,104,324,-2,273,5,0,14702,441,60606.06
6,94,671,-3,175,10,0,5135,293,60240.96
9,94,562,-5,183,19,0,1504,90,59880.24
8,115,495,-5,194,16,0,7037,47,58823.53
5,59,333,-5,180,9,0,11353,80,58823.53
2,68,927,-5,214,14,1,12449,138,57142.86
2,44,596,-2,249,11,0,3067,137,60606.06
3,120,741,-3,255,10,0,8776,442,59171.6
10,127,886,-1,116,12,1,3267,197,58823.53
8,74,990,-5,300,13,0,13066,452,57471.27
3,71,318,-4,204,11,0,6431,166,57142.86
4,79,953,-2,244,14,0,8341,210,56818.18
5,89,883,-5,229,13,1,13585,468,56818.18
10,72,310,-4,107,17,0,10540,119,56179.77
4,47,972,-5,284,14,1,1273,459,60975.61
8,127,517,-3,259,20,0,3790,211,60240.96
2,43,848,-5,274,9,1,1180,196,58823.53
5,37,338,-4,154,7,1,13248,305,56497.18
5,79,651,-4,129,18,0,1779,67,56179.77
10,115,575,-5,193,9,1,9999,220,57142.86
6,52,717,-1,281,8,1,12511,363,56818.18
4,96,686,-2,151,18,0,12500,221,56179.77
8,67,441,-5,158,19,0,64,14,62111.8
8,99,600,-1,299,18,1,1701,12,61728.39
6,91,453,-1,111,14,1,2460,61,59880.24
1,116,658,-4,242,18,1,14201,274,59880.24
3,50,496,-4,115,10,1,366,8,59880.24
2,100,644,-2,153,16,1,10466,190,55555.55
4,127,700,-1,250,7,0,8638,306,61349.69
10,39,364,-5,133,17,0,10193,475,58479.53
9,128,799,-5,282,8,0,11616,391,58139.53
3,78,303,-4,195,20,0,6686,5,57142.86
2,51,697,-5,190,19,0,3637,47,55248.62
8,93,810,-3,176,6,0,14757,148,62111.8
8,35,663,-2,247,5,1,4403,192,60975.61
4,32,392,-5,197,15,0,10777,305,60240.96
5,81,951,-5,209,5,1,7034,297,59880.24
6,49,421,-3,254,13,1,4368,61,58823.53
10,34,706,-1,243,11,0,7678,449,58479.53
9,122,730,-2,101,5,1,7643,429,58139.53
6,110,973,-5,141,7,1,13657,112,57803.47
10,120,861,-4,221,9,1,4437,329,63291.14
4,106,528,-3,109,6,0,10770,14,62893.08
10,86,389,-3,279,14,1,11990,449,62893.08
3,45,462,-2,217,11,1,5213,216,61728.39
1,68,991,-2,229,13,1,4146,248,60975.61
8,73,263,-3,122,20,1,8698,56,60606.06
9,127,485,-4,152,6,0,8641,467,59880.24
4,121,1008,-1,165,8,1,8867,91,58823.53
7,47,698,-2,126,13,0,8943,480,58139.53
6,41,670,-5,265,17,1,4532,134,57142.86
5,111,748,-4,103,11,1,4436,291,62893.08
7,71,369,-2,162,15,1,1188,84,60975.61
3,108,506,-4,135,18,1,4167,230,58823.53
5,117,859,-4,151,20,0,14489,128,58823.53
10,102,294,-2,210,15,0,9855,185,58479.53
7,60,1008,-1,281,9,0,10989,486,57471.27
10,69,663,-2,196,20,0,2887,387,56818.18
3,127,798,-3,139,17,0,8464,451,63291.14
9,92,887,-4,279,11,0,9858,338,63291.14
5,105,675,-1,248,15,1,7588,7,62893.08
6,112,926,-2,161,11,0,698,462,62500
9,40,568,-3,228,15,1,6283,96,62111.8
3,101,971,-4,139,17,0,1444,167,62111.8
2,64,830,-5,252,18,1,14351,290,61349.69
10,126,915,-1,193,5,0,1502,359,60975.61
5,116,439,-2,154,18,0,8717,205,60606.06
10,103,265,-3,238,19,0,6740,416,60606.06
6,113,894,-2,141,18,0,924,152,60240.96
6,52,760,-1,187,19,0,435,173,60240.96
8,60,1014,-4,153,6,0,2664,308,59523.81
8,81,794,-2,188,12,1,11469,433,64102.56
9,45,868,-3,253,7,1,4922,67,62893.08
3,50,606,-5,127,15,0,4154,237,62111.8
9,65,990,-2,300,10,1,7294,396,61349.69
6,74,326,-3,252,10,1,13542,23,61349.69
2,113,819,-2,118,15,0,10875,156,61349.69
2,114,945,-5,213,14,0,13361,47,60975.61
6,42,867,-2,265,14,1,1326,444,59880.24
5,38,509,-5,286,5,1,11095,27,59523.81
4,50,957,-4,251,9,0,5259,475,59523.81
3,68,433,-1,240,16,1,1490,9,58823.53
9,107,888,-2,160,10,1,10165,243,58479.53
4,117,364,-1,263,13,1,1999,231,58139.53
1,109,386,-1,290,14,1,2845,232,64102.56
5,128,908,-4,110,18,0,10272,236,63291.14
8,36,269,-4,190,6,0,13107,101,63291.14
7,97,942,-5,195,12,0,8781,266,62893.08
5,40,691,-3,121,12,0,14385,77,62111.8
9,58,471,-5,227,7,0,1283,282,62111.8
3,105,924,-5,274,15,0,7553,248,60240.96
1,55,329,-2,147,10,0,10231,458,60240.96
8,64,1003,-2,103,13,1,12978,294,59880.24
8,99,363,-2,218,11,0,5800,256,59523.81
1,74,510,-1,212,9,0,3847,77,58823.53
10,54,844,-1,169,7,0,13292,361,58479.53
2,56,413,-2,255,6,1,5227,276,58139.53
8,99,598,-5,190,20,0,10162,175,57803.47
5,43,494,-5,275,20,1,14871,156,57471.27
6,125,1014,-4,248,11,1,10179,22,57142.86
5,42,986,-1,122,8,0,11543,240,62893.08
2,70,326,-1,295,19,1,2032,223,62893.08
9,86,831,-2,201,13,1,7899,427,62893.08
3,56,957,-1,176,10,0,1904,194,61728.39
8,97,972,-3,158,12,1,7045,207,60975.61
9,94,458,-4,160,15,1,13108,95,60606.06
6,95,877,-1,146,7,1,689,419,60240.96
5,43,699,-1,171,8,0,9123,61,59880.24
10,125,622,-4,196,20,0,14833,169,58479.53
4,34,369,-3,168,8,1,8382,280,63291.14
8,38,283,-5,137,18,1,8807,489,62500
5,95,442,-4,112,5,0,7157,205,62111.8
10,34,762,-3,211,6,0,1523,196,60975.61
2,105,514,-5,293,12,0,4790,420,59880.24
2,60,767,-4,225,6,1,278,466,59523.81
3,36,1010,-3,162,19,0,9448,27,59171.6
5,125,611,-3,167,14,0,11557,266,58823.53
3,91,404,-3,278,19,0,13978,16,58823.53
