STANDARD_CACHE_SIZE,LOWER_CACHE_SIZE,HIGHER_CACHE_SIZE,STANDARD_PAGE_SIZE,LOWER_PAGE_SIZE,HIGHER_PAGE_SIZE,HIGHEST_PAGE_SIZE,SECURE_DELETE_TRUE,SECURE_DELETE_FALSE,SECURE_DELETE_FAST,TEMP_STORE_DEFAULT,TEMP_STORE_FILE,TEMP_STORE_MEMORY,SHARED_CACHE_TRUE,SHARED_CACHE_FALSE,READ_UNCOMMITED_TRUE,READ_UNCOMMITED_FALSE,FULLSYNC_TRUE,FULLSYNC_FALSE,TRANSACTION_MODE_DEFERRED,TRANSACTION_MODE_IMMEDIATE,TRANSACTION_MODE_EXCLUSIVE,TPS
0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,53.64
1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,54.61
0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,54.02
0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,55.19
1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,53.94
0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,55.4
0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,55.02
1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,54.59
1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,55.08
0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,55.8
0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,54.54
0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,53.39
0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,53.01
1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,53.75
0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,56.47
1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,53.87
0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,55.07
1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,55.31
0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,53.79
0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,53.54
1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,54.77
0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,53.93
1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,54.8
0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,54.4
0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,54.12
0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,54.27
0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,53.77
0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,54.39
1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,53.99
1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,55.43
1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,53.3
0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,53.92
0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,54.5
0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,54.91
0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,54.34
1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,54.02
0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,53.76
0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,54.48
0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,54.18
1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,54.69
0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,54.69
1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,53.63
1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,54.67
0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,54.28
1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,53.11
0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,54.57
1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,55.31
0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,55.47
